an_1	an_2	an_3	an_4
1	1	1	1
0	0	0	0
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	2	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	2	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	2
1	2	1	1
2	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	2
1	1	1	1
1	1	2	1
1	1	1	1
1	1	1	1
1	1	1	1
2	1	1	1
1	1	1	1
1	1	1	2
1	2	1	1
1	1	1	1
1	1	1	1
1	1	2	1
1	1	1	1
2	1	1	1
1	1	1	1
1	2	1	1
1	1	1	1
1	1	1	2
1	1	1	1
2	2	2	1
1	2	1	2
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	2	1	1
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1	2
2	2	1	1
2	1	1	1
1	1	1	1
1	1	1	1
1	1	2	1
2	1	2	2
1	1	1	2
1	1	1	1
1	2	1	1
1	1	1	1
1	1	2	1
2	1	1	1
1	1	2	1
1	2	1	1
1	1	1	1
2	1	2	1
1	1	1	2
1	2	1	2
1	1	1	1
1	1	2	1
1	1	1	1
2	1	1	1
1	2	2	1
1	1	1	2
1	1	1	1
1	1	1	1
2	1	1	1
1	1	1	1
1	1	2	2
1	1	1	1
1	1	1	1
1	1	2	1
2	1	2	2
1	2	1	1
1	1	1	1
1	2	1	1
2	1	1	1
1	2	1	1
1	1	1	1
1	1	2	1
1	1	1	1
1	1	2	1
1	1	1	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	2	1	2
2	2	2	2
2	1	2	2
2	2	2	1
2	2	2	2
1	2	2	2
2	2	2	2
2	2	2	2
2	2	3	2
2	2	2	2
2	3	2	3
2	2	2	2
2	3	2	2
2	2	2	2
3	2	2	2
2	2	2	2
2	2	3	2
2	2	2	3
2	2	2	2
2	2	2	2
2	2	2	2
2	1	2	2
2	1	2	2
2	1	2	2
2	2	1	2
2	2	2	2
2	1	2	2
2	2	2	2
2	2	2	2
1	2	2	2
2	2	2	2
2	2	1	2
2	2	2	2
3	3	2	2
3	2	2	3
3	1	2	2
2	2	3	2
2	2	2	3
2	2	2	2
2	1	2	2
2	2	2	2
2	2	3	2
2	2	2	2
2	1	2	2
2	2	2	2
2	2	2	2
2	2	2	2
2	3	2	2
2	2	2	1
2	3	2	2
2	2	2	2
2	1	1	2
2	2	2	2
2	2	2	2
3	3	3	1
3	3	3	3
3	3	3	3
3	3	3	3
3	2	2	3
3	3	3	3
2	3	2	3
2	2	3	3
3	2	2	3
3	3	2	2
3	3	3	3
1	2	1	2
3	3	3	3
3	2	3	3
3	3	3	3
3	3	2	3
3	3	3	2
2	2	3	2
3	3	2	3
3	3	3	3
3	1	3	3
1	3	3	3
3	3	2	3
3	3	2	2
3	2	3	3
2	3	2	3
3	3	3	3
2	2	1	2
3	2	3	2
